,Unnamed: 0,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,decode_in_isolation_us,prefill_in_isolation_us,baseline_avg_decode_duration_us,baseline_avg_prefill_duration_us,baseline_decode_in_isolation_us,baseline_prefill_in_isolation_us,avg_final_overlap_pct_nonzero
1321,1321,prefill_and_decode,16.0,8192.0,32.0,1024.0,160.0,,27.22233333333333,5.265333333333333,32.48766666666667,206487.39433333333,33.663,207767.97066666663,21.409,97877.05566666668,20.12633333333333,98689.75233333332,0.0
1322,1322,prefill_and_decode,16.0,8192.0,32.0,1024.0,32.0,,132.423,6.856000000000001,139.279,106276.34866666666,140.1206666666667,107251.383,21.409,97877.05566666668,20.12633333333333,98689.75233333332,0.0
1323,1323,prefill_and_decode,16.0,8192.0,32.0,1024.0,64.0,,66.79299999999999,4.824333333333334,71.61733333333332,119790.935,73.36833333333334,120324.07966666669,21.409,97877.05566666668,20.12633333333333,98689.75233333332,0.8937850758678029
1324,1324,prefill_and_decode,16.0,8192.0,32.0,1024.0,96.0,,45.504333333333335,4.9446666666666665,50.449,138788.1006666667,48.48433333333333,139642.52233333333,21.409,97877.05566666668,20.12633333333333,98689.75233333332,0.0
1325,1325,prefill_and_decode,16.0,8192.0,32.0,2048.0,128.0,,51.34433333333333,4.864333333333334,56.208666666666666,166116.06333333335,55.153,166930.547,28.773,97858.80033333332,28.438666666666663,98689.75233333332,0.0
1326,1326,prefill_and_decode,16.0,8192.0,32.0,2048.0,160.0,,40.58633333333333,4.583666666666667,45.17,206380.479,47.93666666666667,207767.97066666663,28.773,97858.80033333332,28.438666666666663,98689.75233333332,0.0
1327,1327,prefill_and_decode,16.0,8192.0,32.0,2048.0,32.0,,213.46166666666667,6.695333333333333,220.157,106238.02733333332,228.65666666666667,107251.383,28.773,97858.80033333332,28.438666666666663,98689.75233333332,25.065860345370304
1328,1328,prefill_and_decode,16.0,8192.0,32.0,2048.0,64.0,,104.05133333333332,4.918,108.96933333333334,119680.789,109.918,120324.07966666669,28.773,97858.80033333332,28.438666666666663,98689.75233333332,0.0
1329,1329,prefill_and_decode,16.0,8192.0,32.0,2048.0,96.0,,69.30566666666667,4.53,73.83566666666667,139015.835,72.45899999999999,139642.52233333333,28.773,97858.80033333332,28.438666666666663,98689.75233333332,1.106290672451193
1330,1330,prefill_and_decode,16.0,8192.0,32.0,256.0,128.0,,15.354666666666668,4.9446666666666665,20.299333333333333,166019.00966666665,20.79433333333333,166930.547,11.800333333333333,97800.48633333332,12.601333333333333,98689.75233333332,0.0
1331,1331,prefill_and_decode,16.0,8192.0,32.0,256.0,160.0,,12.482,6.107333333333333,18.58933333333333,206440.4443333333,16.023,207767.97066666663,11.800333333333333,97800.48633333332,12.601333333333333,98689.75233333332,0.0
1332,1332,prefill_and_decode,16.0,8192.0,32.0,256.0,32.0,,55.113,6.802333333333333,61.915333333333336,106319.86233333334,61.76833333333333,107251.383,11.800333333333333,97800.48633333332,12.601333333333333,98689.75233333332,0.0
1333,1333,prefill_and_decode,16.0,8192.0,32.0,256.0,64.0,,26.22,5.72,31.94,119629.54733333334,35.093333333333334,120324.07966666669,11.800333333333333,97800.48633333332,12.601333333333333,98689.75233333332,0.0
1334,1334,prefill_and_decode,16.0,8192.0,32.0,256.0,96.0,,17.466666666666665,4.945,22.411666666666665,138934.85766666668,25.431666666666665,139642.52233333333,11.800333333333333,97800.48633333332,12.601333333333333,98689.75233333332,0.0
1335,1335,prefill_and_decode,16.0,8192.0,32.0,4096.0,128.0,,83.538,4.223,87.761,165889.24766666666,88.84333333333332,166930.547,39.85166666666667,98043.26166666669,41.96266666666667,98689.75233333332,0.0
1336,1336,prefill_and_decode,16.0,8192.0,32.0,4096.0,160.0,,67.76866666666668,4.223,71.99166666666667,206482.9793333333,73.34133333333334,207767.97066666663,39.85166666666667,98043.26166666669,41.96266666666667,98689.75233333332,0.0
1337,1337,prefill_and_decode,16.0,8192.0,32.0,4096.0,32.0,,369.4986666666667,6.855666666666667,376.3543333333333,106208.51966666667,371.5563333333333,107251.383,39.85166666666667,98043.26166666669,41.96266666666667,98689.75233333332,54.83283019624614
1338,1338,prefill_and_decode,16.0,8192.0,32.0,4096.0,64.0,,177.66,4.7843333333333335,182.44433333333333,119810.36433333332,182.845,120324.07966666669,39.85166666666667,98043.26166666669,41.96266666666667,98689.75233333332,14.606217084843763
1339,1339,prefill_and_decode,16.0,8192.0,32.0,4096.0,96.0,,113.91366666666666,4.464,118.37766666666666,138960.53366666668,120.54233333333332,139642.52233333333,39.85166666666667,98043.26166666669,41.96266666666667,98689.75233333332,0.0
1340,1340,prefill_and_decode,16.0,8192.0,32.0,512.0,128.0,,23.62766666666667,4.677333333333333,28.305000000000003,166035.88833333334,29.33366666666667,166930.547,16.66433333333333,97949.988,17.533,98689.75233333332,0.0
1341,1341,prefill_and_decode,16.0,8192.0,32.0,512.0,160.0,,19.49766666666667,5.332666666666667,24.83033333333334,206369.45233333332,26.701,207767.97066666663,16.66433333333333,97949.988,17.533,98689.75233333332,0.0
1342,1342,prefill_and_decode,16.0,8192.0,32.0,512.0,32.0,,89.658,6.628666666666667,96.28666666666666,106245.90633333332,95.32500000000002,107251.383,16.66433333333333,97949.988,17.533,98689.75233333332,0.0
1343,1343,prefill_and_decode,16.0,8192.0,32.0,512.0,64.0,,45.571,5.185,50.756,119773.27499999998,50.75566666666667,120324.07966666669,16.66433333333333,97949.988,17.533,98689.75233333332,0.0
1344,1344,prefill_and_decode,16.0,8192.0,32.0,512.0,96.0,,31.953,5.773333333333333,37.72633333333333,138739.15566666666,35.56133333333333,139642.52233333333,16.66433333333333,97949.988,17.533,98689.75233333332,0.0
1345,1345,prefill_and_decode,16.0,8192.0,32.0,8192.0,128.0,,151.01233333333332,4.37,155.38233333333332,166334.28,155.80933333333329,166930.547,67.11366666666667,97882.33333333331,69.09133333333332,98689.75233333332,5.181845666736172
1346,1346,prefill_and_decode,16.0,8192.0,32.0,8192.0,160.0,,122.06566666666669,4.597333333333333,126.663,206501.47666666668,127.45166666666668,207767.97066666663,67.11366666666667,97882.33333333331,69.09133333333332,98689.75233333332,0.0
1347,1347,prefill_and_decode,16.0,8192.0,32.0,8192.0,32.0,,686.0896666666667,6.949333333333333,693.0390000000001,106379.61766666669,680.4096666666667,107251.383,67.11366666666667,97882.33333333331,69.09133333333332,98689.75233333332,75.24480124223905
1348,1348,prefill_and_decode,16.0,8192.0,32.0,8192.0,64.0,,328.96566666666666,5.265333333333333,334.231,119709.25266666668,330.39566666666667,120324.07966666669,67.11366666666667,97882.33333333331,69.09133333333332,98689.75233333332,51.165687897516705
1349,1349,prefill_and_decode,16.0,8192.0,32.0,8192.0,96.0,,209.35933333333327,4.436666666666667,213.796,138746.71066666668,213.95633333333333,139642.52233333333,67.11366666666667,97882.33333333331,69.09133333333332,98689.75233333332,28.649696818379983
1350,1350,prefill_and_decode,16.0,8192.0,4.0,1024.0,128.0,,9.221333333333334,4.624,13.845333333333333,165958.87,12.107333333333331,166930.547,14.873666666666669,97886.97166666668,12.842333333333332,98689.75233333332,0.0
1351,1351,prefill_and_decode,16.0,8192.0,4.0,1024.0,160.0,,9.715666666666667,3.862,13.577666666666667,206474.934,12.455333333333332,207767.97066666663,14.873666666666669,97886.97166666668,12.842333333333332,98689.75233333332,0.0
1352,1352,prefill_and_decode,16.0,8192.0,4.0,1024.0,32.0,,21.903333333333336,3.607666666666667,25.511000000000003,106266.67766666668,25.177666666666664,107251.383,14.873666666666669,97886.97166666668,12.842333333333332,98689.75233333332,0.0
1353,1353,prefill_and_decode,16.0,8192.0,4.0,1024.0,64.0,,14.713666666666668,3.7153333333333336,18.429,119887.202,17.707,120324.07966666669,14.873666666666669,97886.97166666668,12.842333333333332,98689.75233333332,0.0
1354,1354,prefill_and_decode,16.0,8192.0,4.0,1024.0,96.0,,8.980333333333334,3.862666666666666,12.843,138919.77599999998,15.448333333333334,139642.52233333333,14.873666666666669,97886.97166666668,12.842333333333332,98689.75233333332,0.0
1355,1355,prefill_and_decode,16.0,8192.0,4.0,2048.0,128.0,,12.949333333333334,4.303333333333334,17.252666666666666,166091.30566666668,15.475666666666664,166930.547,17.881,97906.25433333332,16.236666666666665,98689.75233333332,0.0
1356,1356,prefill_and_decode,16.0,8192.0,4.0,2048.0,160.0,,13.003333333333332,4.757666666666666,17.761,206337.458,17.454333333333334,207767.97066666663,17.881,97906.25433333332,16.236666666666665,98689.75233333332,0.0
1357,1357,prefill_and_decode,16.0,8192.0,4.0,2048.0,32.0,,31.592,4.570333333333334,36.162333333333336,106235.80666666666,34.99966666666667,107251.383,17.881,97906.25433333332,16.236666666666665,98689.75233333332,0.0
1358,1358,prefill_and_decode,16.0,8192.0,4.0,2048.0,64.0,,23.079666666666668,4.490333333333333,27.57,119647.03833333332,24.229,120324.07966666669,17.881,97906.25433333332,16.236666666666665,98689.75233333332,0.0
1359,1359,prefill_and_decode,16.0,8192.0,4.0,2048.0,96.0,,12.522,4.169666666666667,16.691666666666666,138904.19466666668,16.023333333333333,139642.52233333333,17.881,97906.25433333332,16.236666666666665,98689.75233333332,0.0
1360,1360,prefill_and_decode,16.0,8192.0,4.0,256.0,128.0,,6.107333333333334,3.888666666666667,9.996,165817.228,10.357333333333331,166930.547,13.697666666666668,97986.827,10.998666666666669,98689.75233333332,0.0
1361,1361,prefill_and_decode,16.0,8192.0,4.0,256.0,160.0,,6.882666666666666,3.795333333333333,10.678,206588.76866666667,12.081,207767.97066666663,13.697666666666668,97986.827,10.998666666666669,98689.75233333332,0.0
1362,1362,prefill_and_decode,16.0,8192.0,4.0,256.0,32.0,,10.330666666666666,3.608,13.938666666666666,106318.30266666668,15.769333333333332,107251.383,13.697666666666668,97986.827,10.998666666666669,98689.75233333332,0.0
1363,1363,prefill_and_decode,16.0,8192.0,4.0,256.0,64.0,,6.468,3.848333333333333,10.316333333333333,119526.738,12.508666666666668,120324.07966666669,13.697666666666668,97986.827,10.998666666666669,98689.75233333332,0.0
1364,1364,prefill_and_decode,16.0,8192.0,4.0,256.0,96.0,,6.655333333333334,4.009666666666667,10.665,139148.821,12.321333333333332,139642.52233333333,13.697666666666668,97986.827,10.998666666666669,98689.75233333332,0.0
1365,1365,prefill_and_decode,16.0,8192.0,4.0,4096.0,128.0,,18.549,3.915666666666666,22.464666666666663,166088.9183333333,23.40033333333333,166930.547,24.042,98082.36966666668,22.679,98689.75233333332,0.0
1366,1366,prefill_and_decode,16.0,8192.0,4.0,4096.0,160.0,,19.378,3.916,23.294,206681.683,24.482666666666667,207767.97066666663,24.042,98082.36966666668,22.679,98689.75233333332,0.0
1367,1367,prefill_and_decode,16.0,8192.0,4.0,4096.0,32.0,,52.84133333333333,3.861666666666667,56.703,106258.10466666668,54.538,107251.383,24.042,98082.36966666668,22.679,98689.75233333332,0.0
1368,1368,prefill_and_decode,16.0,8192.0,4.0,4096.0,64.0,,34.613,3.661666666666666,38.27466666666667,119657.67133333332,38.00633333333333,120324.07966666669,24.042,98082.36966666668,22.679,98689.75233333332,0.0
1369,1369,prefill_and_decode,16.0,8192.0,4.0,4096.0,96.0,,19.858666666666668,3.648333333333333,23.507,138849.89333333334,22.531333333333336,139642.52233333333,24.042,98082.36966666668,22.679,98689.75233333332,0.0
1370,1370,prefill_and_decode,16.0,8192.0,4.0,512.0,128.0,,7.309666666666668,4.530333333333334,11.840000000000002,166067.801,10.290666666666668,166930.547,11.079,97883.42966666666,11.426666666666666,98689.75233333332,0.0
1371,1371,prefill_and_decode,16.0,8192.0,4.0,512.0,160.0,,7.830666666666667,3.768666666666667,11.599333333333334,206492.19833333333,10.303666666666668,207767.97066666663,11.079,97883.42966666666,11.426666666666666,98689.75233333332,0.0
1372,1372,prefill_and_decode,16.0,8192.0,4.0,512.0,32.0,,13.658,3.835,17.493000000000002,106389.545,17.773666666666667,107251.383,11.079,97883.42966666666,11.426666666666666,98689.75233333332,0.0
