,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
29,281,KERNEL_DISPATCH,7,2,228698,47,273,kernel_unified_attention_2d,47,275136901098753,275136901426342,0,20480,256,1,1,12288,8,1,decode,1,1024,32,512,32,standalone_attn_decode_1.0_1024.0_32.0_512.0_32.0_kernel_trace.csv,327.589
30,324,KERNEL_DISPATCH,7,2,221771,43,273,kernel_unified_attention_2d,43,273722642481521,273722645439970,0,20480,256,1,1,196608,8,1,decode,1,1024,512,256,32,standalone_attn_decode_1.0_1024.0_512.0_256.0_32.0_kernel_trace.csv,2958.449
31,325,KERNEL_DISPATCH,7,2,221771,44,273,kernel_unified_attention_2d,44,273722645712873,273722648719553,0,20480,256,1,1,196608,8,1,decode,1,1024,512,256,32,standalone_attn_decode_1.0_1024.0_512.0_256.0_32.0_kernel_trace.csv,3006.68
32,326,KERNEL_DISPATCH,7,2,221771,45,273,kernel_unified_attention_2d,45,273722648851132,273722651809261,0,20480,256,1,1,196608,8,1,decode,1,1024,512,256,32,standalone_attn_decode_1.0_1024.0_512.0_256.0_32.0_kernel_trace.csv,2958.129
33,327,KERNEL_DISPATCH,7,2,221771,46,273,kernel_unified_attention_2d,46,273722651927763,273722654888177,0,20480,256,1,1,196608,8,1,decode,1,1024,512,256,32,standalone_attn_decode_1.0_1024.0_512.0_256.0_32.0_kernel_trace.csv,2960.414
34,328,KERNEL_DISPATCH,7,2,221771,47,273,kernel_unified_attention_2d,47,273722655001887,273722657959815,0,20480,256,1,1,196608,8,1,decode,1,1024,512,256,32,standalone_attn_decode_1.0_1024.0_512.0_256.0_32.0_kernel_trace.csv,2957.928
35,371,KERNEL_DISPATCH,7,2,314146,43,273,kernel_unified_attention_2d,43,281084777746158,281084783074109,0,20480,256,1,1,196608,8,1,decode,1,1024,512,512,32,standalone_attn_decode_1.0_1024.0_512.0_512.0_32.0_kernel_trace.csv,5327.951
36,372,KERNEL_DISPATCH,7,2,314146,44,273,kernel_unified_attention_2d,44,281084783344166,281084788571447,0,20480,256,1,1,196608,8,1,decode,1,1024,512,512,32,standalone_attn_decode_1.0_1024.0_512.0_512.0_32.0_kernel_trace.csv,5227.281
37,373,KERNEL_DISPATCH,7,2,314146,45,273,kernel_unified_attention_2d,45,281084788873979,281084794127439,0,20480,256,1,1,196608,8,1,decode,1,1024,512,512,32,standalone_attn_decode_1.0_1024.0_512.0_512.0_32.0_kernel_trace.csv,5253.46
38,374,KERNEL_DISPATCH,7,2,314146,46,273,kernel_unified_attention_2d,46,281084794256494,281084799506507,0,20480,256,1,1,196608,8,1,decode,1,1024,512,512,32,standalone_attn_decode_1.0_1024.0_512.0_512.0_32.0_kernel_trace.csv,5250.013
