,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,decode_in_isolation_us,prefill_in_isolation_us,baseline_avg_decode_duration_us,baseline_avg_prefill_duration_us,baseline_decode_in_isolation_us,baseline_prefill_in_isolation_us
2517,prefill_and_decode,4.0,4096.0,64.0,2048.0,64.0,,207.702,7.283666666666666,214.98566666666667,7580.840666666667,214.304,7619.636333333333,50.79633333333333,6109.340333333334,49.099333333333334,6217.360000000001
2518,prefill_and_decode,4.0,4096.0,64.0,2048.0,96.0,,124.63166666666666,5.853666666666666,130.48533333333333,8835.284666666668,132.022,8882.846,50.79633333333333,6109.340333333334,49.099333333333334,6217.360000000001
2519,prefill_and_decode,4.0,4096.0,64.0,256.0,128.0,,26.05933333333333,6.749,32.80833333333333,10511.787,32.48733333333333,10568.167666666666,23.641000000000002,6107.668999999999,18.976999999999997,6217.360000000001
2520,prefill_and_decode,4.0,4096.0,64.0,256.0,160.0,,23.319999999999997,6.320666666666667,29.640666666666664,13028.693333333335,27.53,13095.136666666667,23.641000000000002,6107.668999999999,18.976999999999997,6217.360000000001
2521,prefill_and_decode,4.0,4096.0,64.0,256.0,32.0,,103.93066666666668,10.945333333333332,114.87600000000002,6826.407333333334,115.05,6852.426666666666,23.641000000000002,6107.668999999999,18.976999999999997,6217.360000000001
2522,prefill_and_decode,4.0,4096.0,64.0,256.0,64.0,,55.594,7.029333333333334,62.623333333333335,7587.388666666667,62.90366666666667,7619.636333333333,23.641000000000002,6107.668999999999,18.976999999999997,6217.360000000001
2523,prefill_and_decode,4.0,4096.0,64.0,256.0,96.0,,33.209,7.350333333333334,40.559333333333335,8835.979,41.361333333333334,8882.846,23.641000000000002,6107.668999999999,18.976999999999997,6217.360000000001
2524,prefill_and_decode,4.0,4096.0,64.0,4096.0,128.0,,165.432,5.332,170.76399999999998,10512.148333333333,171.31199999999998,10568.167666666666,78.75366666666666,6103.5,73.90233333333333,6217.360000000001
2525,prefill_and_decode,4.0,4096.0,64.0,4096.0,160.0,,133.27833333333334,4.984333333333333,138.26266666666666,13030.631333333333,139.185,13095.136666666667,78.75366666666666,6103.5,73.90233333333333,6217.360000000001
2526,prefill_and_decode,4.0,4096.0,64.0,4096.0,32.0,,738.7036666666667,11.747,750.4506666666666,6819.204666666667,735.5096666666667,6852.426666666666,78.75366666666666,6103.5,73.90233333333333,6217.360000000001
2527,prefill_and_decode,4.0,4096.0,64.0,4096.0,64.0,,356.7903333333333,7.684,364.47433333333333,7582.898666666667,360.131,7619.636333333333,78.75366666666666,6103.5,73.90233333333333,6217.360000000001
2528,prefill_and_decode,4.0,4096.0,64.0,4096.0,96.0,,212.15233333333333,5.893666666666667,218.046,8833.961666666666,218.4596666666667,8882.846,78.75366666666666,6103.5,73.90233333333333,6217.360000000001
2529,prefill_and_decode,4.0,4096.0,64.0,512.0,128.0,,42.95166666666666,6.0809999999999995,49.03266666666666,10502.953333333333,53.66966666666667,10568.167666666666,29.320999999999998,6128.143,26.073,6217.360000000001
2530,prefill_and_decode,4.0,4096.0,64.0,512.0,160.0,,35.053666666666665,5.786333333333334,40.839999999999996,13030.309666666668,44.074,13095.136666666667,29.320999999999998,6128.143,26.073,6217.360000000001
2531,prefill_and_decode,4.0,4096.0,64.0,512.0,32.0,,175.94899999999998,11.319333333333333,187.26833333333332,6829.347333333334,183.96733333333333,6852.426666666666,29.320999999999998,6128.143,26.073,6217.360000000001
2532,prefill_and_decode,4.0,4096.0,64.0,512.0,64.0,,86.55799999999999,7.083000000000001,93.64099999999999,7578.474666666666,97.423,7619.636333333333,29.320999999999998,6128.143,26.073,6217.360000000001
2533,prefill_and_decode,4.0,4096.0,64.0,512.0,96.0,,56.543,5.853333333333333,62.39633333333333,8831.528666666667,64.48133333333334,8882.846,29.320999999999998,6128.143,26.073,6217.360000000001
2534,prefill_and_decode,4.0,4096.0,64.0,8192.0,128.0,,300.9286666666667,5.8933333333333335,306.822,10516.157666666666,306.64799999999997,10568.167666666666,134.45466666666664,6120.458666666666,129.643,6217.360000000001
2535,prefill_and_decode,4.0,4096.0,64.0,8192.0,160.0,,241.713,4.957999999999999,246.671,13036.378333333334,246.69766666666666,13095.136666666667,134.45466666666664,6120.458666666666,129.643,6217.360000000001
2536,prefill_and_decode,4.0,4096.0,64.0,8192.0,32.0,,1356.143,11.720333333333334,1367.8633333333335,6839.958666666666,1343.594,6852.426666666666,134.45466666666664,6120.458666666666,129.643,6217.360000000001
2537,prefill_and_decode,4.0,4096.0,64.0,8192.0,64.0,,661.2733333333333,7.804666666666667,669.078,7595.18,656.8360000000001,7619.636333333333,134.45466666666664,6120.458666666666,129.643,6217.360000000001
2538,prefill_and_decode,4.0,4096.0,64.0,8192.0,96.0,,390.146,6.067333333333334,396.21333333333337,8841.445333333335,393.13933333333335,8882.846,134.45466666666664,6120.458666666666,129.643,6217.360000000001
2539,prefill_and_decode,4.0,4096.0,8.0,1024.0,128.0,,14.700666666666665,3.875666666666666,18.57633333333333,10514.202333333333,18.56266666666667,10568.167666666666,17.800666666666665,6136.426666666666,16.09,6217.360000000001
2540,prefill_and_decode,4.0,4096.0,8.0,1024.0,160.0,,10.29,4.851,15.140999999999998,13035.651,14.245666666666667,13095.136666666667,17.800666666666665,6136.426666666666,16.09,6217.360000000001
2541,prefill_and_decode,4.0,4096.0,8.0,1024.0,32.0,,40.92033333333333,4.57,45.49033333333333,6818.841,41.295,6852.426666666666,17.800666666666665,6136.426666666666,16.09,6217.360000000001
2542,prefill_and_decode,4.0,4096.0,8.0,1024.0,64.0,,20.286333333333335,4.089333333333333,24.375666666666667,7584.5126666666665,24.00133333333333,7619.636333333333,17.800666666666665,6136.426666666666,16.09,6217.360000000001
2543,prefill_and_decode,4.0,4096.0,8.0,1024.0,96.0,,16.398,4.223,20.621,8837.125333333332,19.831333333333333,8882.846,17.800666666666665,6136.426666666666,16.09,6217.360000000001
2544,prefill_and_decode,4.0,4096.0,8.0,2048.0,128.0,,21.663,4.116,25.779,10512.985999999999,24.977333333333334,10568.167666666666,18.001,6125.6286666666665,18.028,6217.360000000001
2545,prefill_and_decode,4.0,4096.0,8.0,2048.0,160.0,,12.308,4.183333333333334,16.491333333333333,13034.060666666666,16.81233333333333,13095.136666666667,18.001,6125.6286666666665,18.028,6217.360000000001
2546,prefill_and_decode,4.0,4096.0,8.0,2048.0,32.0,,58.41366666666667,6.201,64.61466666666666,6821.554,61.70099999999999,6852.426666666666,18.001,6125.6286666666665,18.028,6217.360000000001
2547,prefill_and_decode,4.0,4096.0,8.0,2048.0,64.0,,30.323000000000004,3.8623333333333334,34.18533333333334,7586.798333333332,34.17166666666667,7619.636333333333,18.001,6125.6286666666665,18.028,6217.360000000001
2548,prefill_and_decode,4.0,4096.0,8.0,2048.0,96.0,,22.063666666666666,4.837666666666666,26.901333333333334,8834.212,26.727666666666664,8882.846,18.001,6125.6286666666665,18.028,6217.360000000001
2549,prefill_and_decode,4.0,4096.0,8.0,256.0,128.0,,7.096,4.517,11.613,10510.447666666665,10.731,10568.167666666666,13.216333333333331,6157.260666666666,10.517,6217.360000000001
2550,prefill_and_decode,4.0,4096.0,8.0,256.0,160.0,,9.475,4.7573333333333325,14.232333333333333,13035.103666666668,10.370999999999999,13095.136666666667,13.216333333333331,6157.260666666666,10.517,6217.360000000001
2551,prefill_and_decode,4.0,4096.0,8.0,256.0,32.0,,17.23966666666667,5.265333333333333,22.505000000000003,6810.568666666666,20.714333333333332,6852.426666666666,13.216333333333331,6157.260666666666,10.517,6217.360000000001
2552,prefill_and_decode,4.0,4096.0,8.0,256.0,64.0,,10.237,3.8356666666666666,14.072666666666667,7583.443666666666,14.232666666666667,7619.636333333333,13.216333333333331,6157.260666666666,10.517,6217.360000000001
2553,prefill_and_decode,4.0,4096.0,8.0,256.0,96.0,,8.565666666666667,4.329666666666666,12.895333333333333,8831.993333333334,10.517666666666667,8882.846,13.216333333333331,6157.260666666666,10.517,6217.360000000001
2554,prefill_and_decode,4.0,4096.0,8.0,4096.0,128.0,,34.97333333333333,3.7289999999999996,38.70233333333333,10510.527,37.23166666666666,10568.167666666666,27.436,6109.698333333334,23.466666666666665,6217.360000000001
2555,prefill_and_decode,4.0,4096.0,8.0,4096.0,160.0,,19.36433333333333,4.329666666666666,23.693999999999996,13036.306000000002,23.26633333333333,13095.136666666667,27.436,6109.698333333334,23.466666666666665,6217.360000000001
2556,prefill_and_decode,4.0,4096.0,8.0,4096.0,32.0,,100.48299999999999,4.503666666666667,104.98666666666665,6824.320333333334,102.12700000000001,6852.426666666666,27.436,6109.698333333334,23.466666666666665,6217.360000000001
2557,prefill_and_decode,4.0,4096.0,8.0,4096.0,64.0,,52.48,4.37,56.849999999999994,7582.093666666667,56.11500000000001,7619.636333333333,27.436,6109.698333333334,23.466666666666665,6217.360000000001
2558,prefill_and_decode,4.0,4096.0,8.0,4096.0,96.0,,35.067,4.597333333333334,39.66433333333333,8832.407333333334,38.514666666666656,8882.846,27.436,6109.698333333334,23.466666666666665,6217.360000000001
2559,prefill_and_decode,4.0,4096.0,8.0,512.0,128.0,,10.410333333333334,3.889,14.299333333333333,10513.494,13.938666666666668,10568.167666666666,14.793666666666667,6120.63,12.001333333333331,6217.360000000001
2560,prefill_and_decode,4.0,4096.0,8.0,512.0,160.0,,7.163666666666667,4.770666666666667,11.934333333333335,13040.128333333334,12.361999999999998,13095.136666666667,14.793666666666667,6120.63,12.001333333333331,6217.360000000001
2561,prefill_and_decode,4.0,4096.0,8.0,512.0,32.0,,27.382,5.065,32.447,6816.970333333334,30.923666666666662,6852.426666666666,14.793666666666667,6120.63,12.001333333333331,6217.360000000001
2562,prefill_and_decode,4.0,4096.0,8.0,512.0,64.0,,14.552999999999999,4.677666666666666,19.230666666666664,7584.632999999999,17.94833333333333,7619.636333333333,14.793666666666667,6120.63,12.001333333333331,6217.360000000001
2563,prefill_and_decode,4.0,4096.0,8.0,512.0,96.0,,10.717333333333334,4.704000000000001,15.421333333333335,8833.757666666666,14.045666666666667,8882.846,14.793666666666667,6120.63,12.001333333333331,6217.360000000001
2564,prefill_and_decode,4.0,4096.0,8.0,8192.0,128.0,,61.83466666666667,4.503666666666667,66.33833333333334,10509.596333333333,67.36733333333333,10568.167666666666,39.71733333333333,6141.050333333333,39.169666666666664,6217.360000000001
2565,prefill_and_decode,4.0,4096.0,8.0,8192.0,160.0,,32.901999999999994,5.185333333333333,38.087333333333326,13032.757333333333,37.60566666666667,13095.136666666667,39.71733333333333,6141.050333333333,39.169666666666664,6217.360000000001
2566,prefill_and_decode,4.0,4096.0,8.0,8192.0,32.0,,179.69133333333335,4.289666666666666,183.98100000000002,6825.134999999999,183.52666666666667,6852.426666666666,39.71733333333333,6141.050333333333,39.169666666666664,6217.360000000001
2567,prefill_and_decode,4.0,4096.0,8.0,8192.0,64.0,,92.11733333333335,4.610333333333333,96.72766666666668,7585.0070000000005,96.92833333333331,7619.636333333333,39.71733333333333,6141.050333333333,39.169666666666664,6217.360000000001
2568,prefill_and_decode,4.0,4096.0,8.0,8192.0,96.0,,63.51866666666667,4.476666666666667,67.99533333333333,8840.469666666666,67.07333333333332,8882.846,39.71733333333333,6141.050333333333,39.169666666666664,6217.360000000001
2569,prefill_and_decode,4.0,512.0,128.0,1024.0,128.0,,,,115.53066666666666,212.80666666666664,117.32166666666666,215.2793333333333,59.66966666666667,125.32599999999998,60.52466666666667,128.15933333333334
2570,prefill_and_decode,4.0,512.0,128.0,1024.0,160.0,,,,60.833,242.234,61.24700000000001,244.466,59.66966666666667,125.32599999999998,60.52466666666667,128.15933333333334
