,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
390,32.0,512,1024,4096,4,56095.78666666667,10932.068666666666
391,32.0,512,2048,256,1,334.753,19002.577666666668
392,32.0,512,2048,256,4,1315.2496666666668,19086.517
393,32.0,512,2048,256,8,2001.2326666666668,19094.94933333333
394,32.0,512,2048,256,16,2511.3736666666664,19254.193666666666
395,32.0,512,2048,256,32,3548.507,19344.36033333333
396,32.0,512,2048,512,1,771.298,19024.281
397,32.0,512,2048,512,4,2421.4876666666664,19143.31333333333
398,32.0,512,2048,512,8,3353.768,19288.819333333333
399,32.0,512,2048,512,16,5198.723333333333,19526.93766666667
400,32.0,512,2048,1024,1,1931.995,19192.373
401,32.0,512,2048,1024,4,4996.781,19468.857666666667
402,32.0,512,2048,1024,8,8387.913,19843.939333333332
403,32.0,512,2048,2048,1,4989.229333333333,19474.81466666667
404,32.0,512,2048,2048,4,14393.334333333334,20161.92033333333
405,32.0,512,2048,2048,8,27959.70966666667,20275.781
406,32.0,512,2048,4096,1,14597.454666666667,20228.90033333333
407,32.0,512,2048,4096,4,55222.82666666667,20605.13533333333
408,32.0,512,4096,256,1,648.9783333333334,37382.40833333333
409,32.0,512,4096,256,4,2454.5623333333333,37424.999
410,32.0,512,4096,256,8,3707.9636666666665,37509.65966666667
411,32.0,512,4096,256,16,4240.983333333333,37653.013333333336
412,32.0,512,4096,256,32,5264.150666666667,37794.39266666667
413,32.0,512,4096,512,1,1348.9796666666668,37414.10766666666
414,32.0,512,4096,512,4,4097.160666666667,37564.064
415,32.0,512,4096,512,8,5062.649666666667,37695.75233333334
416,32.0,512,4096,512,16,6805.918333333333,37962.75
417,32.0,512,4096,1024,1,3157.865,37558.51833333333
418,32.0,512,4096,1024,4,6731.788666666667,37870.939
419,32.0,512,4096,1024,8,10077.497,38181.075
420,32.0,512,4096,2048,1,6705.475333333333,37811.469666666664
421,32.0,512,4096,2048,4,16197.057666666666,38622.285
422,32.0,512,4096,2048,8,28716.20766666667,39553.52133333334
423,32.0,512,4096,4096,1,16287.571666666667,38663.098666666665
424,32.0,512,4096,4096,4,55121.79466666666,39981.234333333334
425,64.0,32,256,256,1,87.50666666666667,101.913
426,64.0,32,256,256,4,305.365,102.20733333333332
427,64.0,32,256,256,8,604.3696666666666,101.98033333333333
428,64.0,32,256,256,16,1218.5613333333333,102.71466666666667
429,64.0,32,256,256,32,2425.4963333333335,106.457
430,64.0,32,256,512,1,279.74666666666667,102.03333333333333
431,64.0,32,256,512,4,1086.2046666666668,102.50166666666667
432,64.0,32,256,512,8,2164.8326666666667,113.25933333333333
433,64.0,32,256,512,16,4363.691,107.15166666666667
434,64.0,32,256,1024,1,1070.2623333333333,101.873
435,64.0,32,256,1024,4,4124.423,107.47266666666667
436,64.0,32,256,1024,8,8234.306666666667,102.36733333333333
437,64.0,32,256,2048,1,4072.9053333333336,108.28733333333332
438,64.0,32,256,2048,4,15945.991,102.60833333333333
439,64.0,32,256,2048,8,31793.28933333333,103.25
440,64.0,32,256,4096,1,16113.333666666666,102.28733333333332
441,64.0,32,256,4096,4,62452.21133333333,102.71433333333333
442,64.0,32,512,256,1,87.34633333333333,181.281
443,64.0,32,512,256,4,305.539,182.68466666666666
444,64.0,32,512,256,8,601.1616666666666,182.41733333333335
445,64.0,32,512,256,16,1226.8743333333332,183.57966666666667
446,64.0,32,512,256,32,2424.334,188.69866666666667
447,64.0,32,512,512,1,280.214,182.75166666666667
448,64.0,32,512,512,4,1070.6763333333333,182.698
449,64.0,32,512,512,8,2164.432,190.10133333333334
450,64.0,32,512,512,16,4347.694666666667,187.70933333333335
451,64.0,32,512,1024,1,1054.279,192.654
452,64.0,32,512,1024,4,4139.565,191.238
453,64.0,32,512,1024,8,8217.108333333334,182.93866666666665
454,64.0,32,512,2048,1,4085.9893333333334,191.652
455,64.0,32,512,2048,4,15912.315666666665,182.36366666666666
456,64.0,32,512,2048,8,31804.919,182.658
457,64.0,32,512,4096,1,16060.748,182.44433333333333
458,64.0,32,512,4096,4,62371.28433333334,182.805
459,64.0,32,1024,256,1,87.921,338.6016666666667
460,64.0,32,1024,256,4,306.4476666666667,344.1606666666667
461,64.0,32,1024,256,8,594.3333333333334,343.4523333333333
462,64.0,32,1024,256,16,1229.3596666666667,358.9546666666667
463,64.0,32,1024,256,32,2421.7013333333334,354.384
464,64.0,32,1024,512,1,279.974,343.9203333333333
465,64.0,32,1024,512,4,1078.9756666666667,344.2406666666667
466,64.0,32,1024,512,8,2171.7823333333336,356.9633333333333
467,64.0,32,1024,512,16,4336.455333333333,349.3196666666667
468,64.0,32,1024,1024,1,1069.2866666666666,343.4256666666667
469,64.0,32,1024,1024,4,4137.346666666666,358.5403333333333
470,64.0,32,1024,1024,8,8243.796,343.145
471,64.0,32,1024,2048,1,4083.116,352.1393333333333
472,64.0,32,1024,2048,4,15913.237666666666,343.827
473,64.0,32,1024,2048,8,31797.16866666667,343.867
474,64.0,32,1024,4096,1,16102.164,343.319
475,64.0,32,1024,4096,4,62401.808666666664,343.319
476,64.0,32,2048,256,1,101.352,651.5706666666666
477,64.0,32,2048,256,4,306.7956666666667,656.903
