,decode_batch,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
105,1,8192,64.0,,68.43633333333334,4.503333333333333,72.93966666666667,,40.025333333333336,5.077999999999999,45.10333333333334
106,1,8192,96.0,,67.99533333333333,4.477,72.47233333333334,,40.025333333333336,5.077999999999999,45.10333333333334
107,1,8192,304.0,,40.025333333333336,5.077999999999999,45.10333333333334,,40.025333333333336,5.077999999999999,45.10333333333334
108,2,1024,128.0,,20.099333333333334,4.583666666666667,24.683,,11.198666666666666,4.811333333333333,16.009999999999998
109,2,1024,160.0,,16.344333333333335,4.65,20.994333333333337,,11.198666666666666,4.811333333333333,16.009999999999998
110,2,1024,32.0,,71.00233333333334,4.957999999999999,75.96033333333334,,11.198666666666666,4.811333333333333,16.009999999999998
111,2,1024,64.0,,37.766333333333336,5.492666666666666,43.259,,11.198666666666666,4.811333333333333,16.009999999999998
112,2,1024,96.0,,25.445333333333334,4.677666666666667,30.123,,11.198666666666666,4.811333333333333,16.009999999999998
113,2,1024,304.0,,11.198666666666666,4.811333333333333,16.009999999999998,,11.198666666666666,4.811333333333333,16.009999999999998
114,2,16384,128.0,,175.21466666666666,4.476666666666667,179.69133333333332,,69.359,4.4766666666666675,73.83566666666667
115,2,16384,160.0,,123.30866666666668,4.490333333333333,127.79900000000002,,69.359,4.4766666666666675,73.83566666666667
116,2,16384,32.0,,678.1246666666667,5.092,683.2166666666667,,69.359,4.4766666666666675,73.83566666666667
117,2,16384,64.0,,342.63733333333334,4.490333333333333,347.1276666666667,,69.359,4.4766666666666675,73.83566666666667
118,2,16384,96.0,,231.69000000000003,4.570666666666667,236.26066666666668,,69.359,4.4766666666666675,73.83566666666667
119,2,16384,304.0,,69.359,4.4766666666666675,73.83566666666667,,69.359,4.4766666666666675,73.83566666666667
120,2,2048,128.0,,30.603333333333335,4.436666666666667,35.040000000000006,,16.170333333333332,4.477,20.647333333333332
121,2,2048,160.0,,22.010666666666665,4.45,26.460666666666665,,16.170333333333332,4.477,20.647333333333332
122,2,2048,32.0,,110.97366666666666,4.918,115.89166666666667,,16.170333333333332,4.477,20.647333333333332
123,2,2048,64.0,,58.333333333333336,4.517,62.85033333333334,,16.170333333333332,4.477,20.647333333333332
124,2,2048,96.0,,39.31666666666666,4.4766666666666675,43.79333333333333,,16.170333333333332,4.477,20.647333333333332
125,2,2048,304.0,,16.170333333333332,4.477,20.647333333333332,,16.170333333333332,4.477,20.647333333333332
126,2,256,128.0,,11.546333333333335,4.102666666666667,15.649000000000001,,6.829,3.9156666666666666,10.744666666666667
127,2,256,160.0,,7.657666666666667,4.9046666666666665,12.562333333333333,,6.829,3.9156666666666666,10.744666666666667
128,2,256,32.0,,26.60766666666667,5.0649999999999995,31.67266666666667,,6.829,3.9156666666666666,10.744666666666667
129,2,256,64.0,,14.847,4.610666666666667,19.457666666666668,,6.829,3.9156666666666666,10.744666666666667
130,2,256,96.0,,9.915999999999999,4.490333333333333,14.406333333333333,,6.829,3.9156666666666666,10.744666666666667
131,2,256,304.0,,6.829,3.9156666666666666,10.744666666666667,,6.829,3.9156666666666666,10.744666666666667
132,2,4096,128.0,,51.06366666666667,4.183,55.24666666666667,,20.567000000000004,4.610333333333333,25.177333333333337
133,2,4096,160.0,,35.494,4.503333333333334,39.99733333333333,,20.567000000000004,4.610333333333333,25.177333333333337
134,2,4096,32.0,,191.706,4.957666666666667,196.66366666666664,,20.567000000000004,4.610333333333333,25.177333333333337
135,2,4096,64.0,,97.957,4.597333333333333,102.55433333333333,,20.567000000000004,4.610333333333333,25.177333333333337
