,prefill_batch,prefill_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_prefill_duration_us_baseline
40,1,1024,96.0,177.36566666666667,,,177.36566666666667,122.28000000000002,,,122.28000000000002
41,1,1024,304.0,122.28000000000002,,,122.28000000000002,122.28000000000002,,,122.28000000000002
42,1,2048,128.0,784.9563333333334,,,784.9563333333334,457.647,,,457.647
43,1,2048,160.0,904.189,,,904.189,457.647,,,457.647
44,1,2048,32.0,456.69866666666667,,,456.69866666666667,457.647,,,457.647
45,1,2048,64.0,563.5966666666667,,,563.5966666666667,457.647,,,457.647
46,1,2048,96.0,680.8916666666668,,,680.8916666666668,457.647,,,457.647
47,1,2048,304.0,457.647,,,457.647,457.647,,,457.647
48,1,256,128.0,21.328666666666667,,,21.328666666666667,21.355666666666664,,,21.355666666666664
49,1,256,160.0,21.50266666666667,,,21.50266666666667,21.355666666666664,,,21.355666666666664
50,1,256,32.0,20.16633333333333,,,20.16633333333333,21.355666666666664,,,21.355666666666664
51,1,256,64.0,21.703000000000003,,,21.703000000000003,21.355666666666664,,,21.355666666666664
52,1,256,96.0,22.625333333333334,,,22.625333333333334,21.355666666666664,,,21.355666666666664
53,1,256,304.0,21.355666666666664,,,21.355666666666664,21.355666666666664,,,21.355666666666664
54,1,4096,128.0,2859.0490000000004,,,2859.0490000000004,1669.714,,,1669.714
55,1,4096,160.0,3507.573,,,3507.573,1669.714,,,1669.714
56,1,4096,32.0,1813.296,,,1813.296,1669.714,,,1669.714
57,1,4096,64.0,2003.1973333333333,,,2003.1973333333333,1669.714,,,1669.714
58,1,4096,96.0,2430.949666666667,,,2430.949666666667,1669.714,,,1669.714
59,1,4096,304.0,1669.714,,,1669.714,1669.714,,,1669.714
60,1,512,128.0,65.02833333333334,,,65.02833333333334,37.486,,,37.486
61,1,512,160.0,64.053,,,64.053,37.486,,,37.486
62,1,512,32.0,35.468,,,35.468,37.486,,,37.486
63,1,512,64.0,66.9,,,66.9,37.486,,,37.486
64,1,512,96.0,67.03333333333332,,,67.03333333333332,37.486,,,37.486
65,1,512,304.0,37.486,,,37.486,37.486,,,37.486
66,1,8192,128.0,10934.741333333333,,,10934.741333333333,6493.298666666667,,,6493.298666666667
