,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
49,1,2048,128,512,224.0,126.02166666666666,,,126.02166666666666,126.59666666666665,,,126.59666666666665
50,1,2048,128,512,32.0,1319.072,,,1319.072,126.59666666666665,,,126.59666666666665
51,1,2048,128,512,64.0,658.1056666666667,,,658.1056666666667,126.59666666666665,,,126.59666666666665
52,1,2048,128,512,304.0,126.59666666666665,,,126.59666666666665,126.59666666666665,,,126.59666666666665
53,1,2048,16,1024,128.0,59.135333333333335,,,59.135333333333335,58.88166666666666,,,58.88166666666666
54,1,2048,16,1024,32.0,59.92366666666667,,,59.92366666666667,58.88166666666666,,,58.88166666666666
55,1,2048,16,1024,64.0,58.98866666666667,,,58.98866666666667,58.88166666666666,,,58.88166666666666
56,1,2048,16,1024,304.0,58.88166666666666,,,58.88166666666666,58.88166666666666,,,58.88166666666666
57,1,2048,16,2048,128.0,111.96266666666668,,,111.96266666666668,112.33666666666666,,,112.33666666666666
58,1,2048,16,2048,32.0,111.843,,,111.843,112.33666666666666,,,112.33666666666666
59,1,2048,16,2048,64.0,112.67133333333334,,,112.67133333333334,112.33666666666666,,,112.33666666666666
60,1,2048,16,2048,304.0,112.33666666666666,,,112.33666666666666,112.33666666666666,,,112.33666666666666
61,1,2048,16,256,128.0,19.484666666666666,,,19.484666666666666,19.418000000000003,,,19.418000000000003
62,1,2048,16,256,32.0,18.722333333333335,,,18.722333333333335,19.418000000000003,,,19.418000000000003
63,1,2048,16,256,64.0,19.645,,,19.645,19.418000000000003,,,19.418000000000003
64,1,2048,16,256,304.0,19.418000000000003,,,19.418000000000003,19.418000000000003,,,19.418000000000003
65,1,2048,16,4096,128.0,217.351,,,217.351,217.47133333333332,,,217.47133333333332
66,1,2048,16,4096,32.0,217.765,,,217.765,217.47133333333332,,,217.47133333333332
67,1,2048,16,4096,64.0,218.206,,,218.206,217.47133333333332,,,217.47133333333332
68,1,2048,16,4096,304.0,217.47133333333332,,,217.47133333333332,217.47133333333332,,,217.47133333333332
69,1,2048,16,512,128.0,32.220333333333336,,,32.220333333333336,33.156,,,33.156
70,1,2048,16,512,32.0,32.059999999999995,,,32.059999999999995,33.156,,,33.156
71,1,2048,16,512,64.0,32.38066666666666,,,32.38066666666666,33.156,,,33.156
72,1,2048,16,512,304.0,33.156,,,33.156,33.156,,,33.156
73,1,2048,256,1024,128.0,1143.215,,,1143.215,462.9793333333334,,,462.9793333333334
74,1,2048,256,1024,160.0,463.63433333333336,,,463.63433333333336,462.9793333333334,,,462.9793333333334
75,1,2048,256,1024,196.0,463.63433333333336,,,463.63433333333336,462.9793333333334,,,462.9793333333334
