,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us
112,decode,,,2.0,1024.0,96.0,,9.781666666666668,4.0360000000000005,13.817666666666668,
113,decode,,,2.0,1024.0,304.0,,8.285333333333334,4.196333333333333,12.481666666666666,
114,decode,,,2.0,2048.0,128.0,,11.760333333333335,3.969,15.729333333333335,
115,decode,,,2.0,2048.0,160.0,,12.535000000000002,5.305,17.840000000000003,
116,decode,,,2.0,2048.0,32.0,,20.647333333333332,4.143000000000001,24.790333333333333,
117,decode,,,2.0,2048.0,64.0,,12.549,4.370333333333334,16.919333333333334,
118,decode,,,2.0,2048.0,96.0,,11.6,4.544,16.144,
119,decode,,,2.0,2048.0,304.0,,13.257333333333335,4.45,17.707333333333334,
120,decode,,,2.0,256.0,128.0,,7.002666666666666,4.37,11.372666666666667,
121,decode,,,2.0,256.0,160.0,,8.285666666666666,5.145,13.430666666666665,
122,decode,,,2.0,256.0,32.0,,8.74,3.9559999999999995,12.696,
123,decode,,,2.0,256.0,64.0,,6.936,4.824333333333334,11.760333333333334,
124,decode,,,2.0,256.0,96.0,,6.254333333333334,3.7153333333333336,9.969666666666669,
125,decode,,,2.0,256.0,304.0,,7.31,4.877666666666666,12.187666666666665,
126,decode,,,2.0,4096.0,128.0,,18.21466666666667,3.768666666666667,21.983333333333338,
127,decode,,,2.0,4096.0,160.0,,19.792333333333332,4.9446666666666665,24.737,
128,decode,,,2.0,4096.0,32.0,,34.064666666666675,4.049666666666667,38.11433333333334,
129,decode,,,2.0,4096.0,64.0,,19.538,4.984666666666667,24.522666666666666,
130,decode,,,2.0,4096.0,96.0,,19.083666666666666,4.089666666666667,23.173333333333332,
131,decode,,,2.0,4096.0,304.0,,19.818666666666665,4.864,24.682666666666666,
132,decode,,,2.0,512.0,128.0,,9.194666666666667,5.118333333333333,14.312999999999999,
133,decode,,,2.0,512.0,160.0,,7.109666666666667,5.238666666666666,12.348333333333333,
134,decode,,,2.0,512.0,32.0,,9.915999999999999,4.022666666666667,13.938666666666666,
135,decode,,,2.0,512.0,64.0,,6.668333333333333,4.957999999999999,11.626333333333331,
136,decode,,,2.0,512.0,96.0,,6.375,3.875666666666667,10.250666666666667,
137,decode,,,2.0,512.0,304.0,,8.231666666666667,4.1963333333333335,12.428,
138,decode,,,2.0,8192.0,128.0,,31.819666666666667,3.6486666666666667,35.468333333333334,
139,decode,,,2.0,8192.0,160.0,,31.980333333333334,4.33,36.31033333333333,
140,decode,,,2.0,8192.0,32.0,,60.87266666666667,4.4366666666666665,65.30933333333333,
141,decode,,,2.0,8192.0,64.0,,31.471666666666664,3.849,35.32066666666667,
142,decode,,,2.0,8192.0,96.0,,31.85933333333333,4.169333333333333,36.02866666666666,
143,decode,,,2.0,8192.0,304.0,,33.303000000000004,4.2363333333333335,37.53933333333334,
144,decode,,,32.0,1024.0,128.0,,33.022,4.905333333333334,37.92733333333333,
145,decode,,,32.0,1024.0,160.0,,28.277666666666665,5.385333333333333,33.663,
146,decode,,,32.0,1024.0,32.0,,133.1846666666667,6.936,140.1206666666667,
147,decode,,,32.0,1024.0,64.0,,67.902,5.466333333333334,73.36833333333334,
148,decode,,,32.0,1024.0,96.0,,43.86066666666667,4.623666666666666,48.48433333333333,
149,decode,,,32.0,1024.0,304.0,,15.796333333333331,4.330000000000001,20.12633333333333,
150,decode,,,32.0,2048.0,128.0,,50.58233333333333,4.570666666666667,55.153,
