,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_us,avg_decode_duration_us,avg_prefill_duration_us
231,decode,1,256,256,256,304.0,140.64166666666668,,
232,decode,1,256,256,4096,128.0,4293.290333333333,,
233,decode,1,256,256,4096,32.0,18715.68533333333,,
234,decode,1,256,256,4096,64.0,9381.117666666665,,
235,decode,1,256,256,4096,304.0,1804.515666666667,,
236,decode,1,256,256,512,128.0,604.1959999999999,,
237,decode,1,256,256,512,32.0,2621.0506666666665,,
238,decode,1,256,256,512,64.0,1326.3813333333335,,
239,decode,1,256,256,512,304.0,248.24800000000002,,
240,decode,1,256,32,1024,128.0,169.86866666666666,,
241,decode,1,256,32,1024,32.0,634.4916666666667,,
242,decode,1,256,32,1024,64.0,336.797,,
243,decode,1,256,32,1024,304.0,61.327,,
244,decode,1,256,32,2048,128.0,326.86766666666665,,
245,decode,1,256,32,2048,32.0,1246.4386666666667,,
246,decode,1,256,32,2048,64.0,661.7673333333333,,
247,decode,1,256,32,2048,304.0,114.42133333333334,,
248,decode,1,256,32,256,128.0,51.678333333333335,,
249,decode,1,256,32,256,196.0,19.351,,
250,decode,1,256,32,256,32.0,190.035,,
251,decode,1,256,32,256,64.0,101.23166666666667,,
252,decode,1,256,32,256,304.0,19.551333333333332,,
253,decode,1,256,32,4096,128.0,652.734,,
254,decode,1,256,32,4096,32.0,2416.088333333333,,
255,decode,1,256,32,4096,64.0,1285.9959999999999,,
256,decode,1,256,32,4096,304.0,221.70766666666668,,
257,decode,1,256,32,512,128.0,90.80766666666666,,
258,decode,1,256,32,512,32.0,337.93333333333334,,
259,decode,1,256,32,512,64.0,179.718,,
260,decode,1,256,32,512,304.0,33.61033333333333,,
261,decode,1,256,512,1024,128.0,2277.462666666667,,
262,decode,1,256,512,1024,32.0,9833.995333333334,,
263,decode,1,256,512,1024,64.0,4914.939666666666,,
264,decode,1,256,512,1024,304.0,872.4896666666667,,
265,decode,1,256,512,2048,128.0,4409.982666666667,,
266,decode,1,256,512,2048,32.0,19048.469666666668,,
267,decode,1,256,512,2048,64.0,9513.702333333333,,
268,decode,1,256,512,2048,304.0,1704.5,,
269,decode,1,256,512,256,128.0,689.5646666666667,,
270,decode,1,256,512,256,32.0,2953.01,,
271,decode,1,256,512,256,64.0,1491.8803333333335,,
272,decode,1,256,512,256,304.0,264.8593333333333,,
273,decode,1,256,512,4096,128.0,8704.545,,
274,decode,1,256,512,4096,32.0,37421.85833333333,,
275,decode,1,256,512,4096,64.0,18837.407333333336,,
276,decode,1,256,512,4096,304.0,3335.231333333333,,
277,decode,1,256,512,512,128.0,1219.7250000000001,,
278,decode,1,256,512,512,32.0,5254.436,,
279,decode,1,256,512,512,64.0,2624.846,,
280,decode,1,256,512,512,304.0,470.67699999999996,,
281,decode,1,256,64,1024,128.0,284.43766666666664,,
282,decode,1,256,64,1024,32.0,1269.558,,
283,decode,1,256,64,1024,64.0,628.4246666666667,,
284,decode,1,256,64,1024,304.0,117.14833333333333,,
285,decode,1,256,64,2048,128.0,545.5416666666666,,
286,decode,1,256,64,2048,32.0,2420.030666666667,,
287,decode,1,256,64,2048,64.0,1213.9913333333334,,
288,decode,1,256,64,2048,304.0,224.995,,
289,decode,1,256,64,256,128.0,142.27266666666665,,
290,decode,1,256,64,256,32.0,373.7083333333333,,
291,decode,1,256,64,256,64.0,186.02566666666667,,
292,decode,1,256,64,256,304.0,37.68633333333333,,
293,decode,1,256,64,4096,128.0,1081.6483333333333,,
294,decode,1,256,64,4096,32.0,4740.847000000001,,
295,decode,1,256,64,4096,64.0,2340.315,,
296,decode,1,256,64,4096,304.0,438.76399999999995,,
297,decode,1,256,64,512,128.0,151.988,,
298,decode,1,256,64,512,32.0,664.133,,
299,decode,1,256,64,512,64.0,329.46066666666667,,
300,decode,1,256,64,512,304.0,64.46733333333333,,
