,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline,avg_prefill_duration_us_baseline
109,decode,1,4096,16,1024,304.0,57.732,,,57.732,,57.732,,,57.732,
110,decode,1,4096,16,2048,32.0,110.145,,,110.145,,109.945,,,109.945,
111,decode,1,4096,16,2048,304.0,109.945,,,109.945,,109.945,,,109.945,
112,decode,1,4096,16,256,32.0,19.05666666666667,,,19.05666666666667,,19.203666666666667,,,19.203666666666667,
113,decode,1,4096,16,256,304.0,19.203666666666667,,,19.203666666666667,,19.203666666666667,,,19.203666666666667,
114,decode,1,4096,16,4096,32.0,213.836,,,213.836,,214.33066666666664,,,214.33066666666664,
115,decode,1,4096,16,4096,304.0,214.33066666666664,,,214.33066666666664,,214.33066666666664,,,214.33066666666664,
116,decode,1,4096,16,512,32.0,31.525333333333332,,,31.525333333333332,,32.70133333333334,,,32.70133333333334,
117,decode,1,4096,16,512,304.0,32.70133333333334,,,32.70133333333334,,32.70133333333334,,,32.70133333333334,
118,decode,1,4096,8,1024,32.0,58.56066666666667,,,58.56066666666667,,58.827666666666666,,,58.827666666666666,
119,decode,1,4096,8,1024,304.0,58.827666666666666,,,58.827666666666666,,58.827666666666666,,,58.827666666666666,
120,decode,1,4096,8,2048,32.0,109.54366666666665,,,109.54366666666665,,110.14566666666667,,,110.14566666666667,
121,decode,1,4096,8,2048,304.0,110.14566666666667,,,110.14566666666667,,110.14566666666667,,,110.14566666666667,
122,decode,1,4096,8,256,32.0,18.749666666666666,,,18.749666666666666,,19.671333333333333,,,19.671333333333333,
123,decode,1,4096,8,256,64.0,19.016666666666666,,,19.016666666666666,,19.671333333333333,,,19.671333333333333,
124,decode,1,4096,8,256,304.0,19.671333333333333,,,19.671333333333333,,19.671333333333333,,,19.671333333333333,
125,decode,1,4096,8,4096,32.0,213.70166666666668,,,213.70166666666668,,214.70433333333335,,,214.70433333333335,
126,decode,1,4096,8,4096,304.0,214.70433333333335,,,214.70433333333335,,214.70433333333335,,,214.70433333333335,
127,decode,1,4096,8,512,32.0,31.605666666666664,,,31.605666666666664,,32.67466666666667,,,32.67466666666667,
128,decode,1,4096,8,512,304.0,32.67466666666667,,,32.67466666666667,,32.67466666666667,,,32.67466666666667,
129,decode,1,512,1,1024,32.0,59.322333333333326,,,59.322333333333326,,59.522999999999996,,,59.522999999999996,
130,decode,1,512,1,1024,304.0,59.522999999999996,,,59.522999999999996,,59.522999999999996,,,59.522999999999996,
131,decode,1,512,1,2048,32.0,114.04766666666667,,,114.04766666666667,,113.23266666666666,,,113.23266666666666,
132,decode,1,512,1,2048,304.0,113.23266666666666,,,113.23266666666666,,113.23266666666666,,,113.23266666666666,
133,decode,1,512,1,256,32.0,21.342333333333332,,,21.342333333333332,,20.406333333333333,,,20.406333333333333,
134,decode,1,512,1,256,64.0,20.901,,,20.901,,20.406333333333333,,,20.406333333333333,
135,decode,1,512,1,256,304.0,20.406333333333333,,,20.406333333333333,,20.406333333333333,,,20.406333333333333,
136,decode,1,512,1,4096,32.0,218.019,,,218.019,,217.87166666666667,,,217.87166666666667,
137,decode,1,512,1,4096,304.0,217.87166666666667,,,217.87166666666667,,217.87166666666667,,,217.87166666666667,
138,decode,1,512,1,512,32.0,33.035666666666664,,,33.035666666666664,,33.27633333333333,,,33.27633333333333,
139,decode,1,512,1,512,304.0,33.27633333333333,,,33.27633333333333,,33.27633333333333,,,33.27633333333333,
140,decode,1,512,16,1024,32.0,57.638666666666666,,,57.638666666666666,,58.62800000000001,,,58.62800000000001,
141,decode,1,512,16,1024,304.0,58.62800000000001,,,58.62800000000001,,58.62800000000001,,,58.62800000000001,
142,decode,1,512,16,2048,32.0,109.67766666666667,,,109.67766666666667,,109.78466666666667,,,109.78466666666667,
143,decode,1,512,16,2048,304.0,109.78466666666667,,,109.78466666666667,,109.78466666666667,,,109.78466666666667,
144,decode,1,512,16,256,32.0,19.097333333333335,,,19.097333333333335,,19.391000000000002,,,19.391000000000002,
145,decode,1,512,16,256,304.0,19.391000000000002,,,19.391000000000002,,19.391000000000002,,,19.391000000000002,
146,decode,1,512,16,4096,32.0,214.90533333333335,,,214.90533333333335,,214.33033333333333,,,214.33033333333333,
147,decode,1,512,16,4096,304.0,214.33033333333333,,,214.33033333333333,,214.33033333333333,,,214.33033333333333,
148,decode,1,512,16,512,32.0,32.126666666666665,,,32.126666666666665,,31.525666666666666,,,31.525666666666666,
149,decode,1,512,16,512,304.0,31.525666666666666,,,31.525666666666666,,31.525666666666666,,,31.525666666666666,
150,decode,1,512,8,1024,32.0,58.454,,,58.454,,58.81466666666666,,,58.81466666666666,
151,decode,1,512,8,1024,304.0,58.81466666666666,,,58.81466666666666,,58.81466666666666,,,58.81466666666666,
152,decode,1,512,8,2048,32.0,110.43933333333332,,,110.43933333333332,,110.77333333333333,,,110.77333333333333,
153,decode,1,512,8,2048,304.0,110.77333333333333,,,110.77333333333333,,110.77333333333333,,,110.77333333333333,
154,decode,1,512,8,256,32.0,19.096999999999998,,,19.096999999999998,,19.257333333333335,,,19.257333333333335,
155,decode,1,512,8,256,64.0,19.324666666666666,,,19.324666666666666,,19.257333333333335,,,19.257333333333335,
156,decode,1,512,8,256,304.0,19.257333333333335,,,19.257333333333335,,19.257333333333335,,,19.257333333333335,
157,decode,1,512,8,4096,32.0,214.9316666666667,,,214.9316666666667,,214.07666666666668,,,214.07666666666668,
