,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,first_kernel,is_3d,rows_in_group,rows_expected,rows_ok,avg_final_overlap_pct_nonzero,count_nonzero
84,16.0,1024.0,1.0,256.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
85,16.0,1024.0,1.0,256.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
86,16.0,1024.0,1.0,256.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
87,16.0,1024.0,1.0,256.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
88,16.0,1024.0,1.0,256.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
89,16.0,1024.0,1.0,256.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
90,16.0,1024.0,1.0,4096.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
91,16.0,1024.0,1.0,4096.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
92,16.0,1024.0,1.0,4096.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
93,16.0,1024.0,1.0,4096.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
94,16.0,1024.0,1.0,4096.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
95,16.0,1024.0,1.0,4096.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
96,16.0,1024.0,1.0,512.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
97,16.0,1024.0,1.0,512.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
98,16.0,1024.0,1.0,512.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
99,16.0,1024.0,1.0,512.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
100,16.0,1024.0,1.0,512.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
101,16.0,1024.0,1.0,512.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
102,16.0,1024.0,1.0,8192.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
