,Unnamed: 0,index,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,queue1_start,queue1_end,queue2_start,queue2_end,q1_dur,q2_dur,overlap_us,pct_of_q1,pct_of_q2
77,77,77,32.0,32,4096,1024,1,295651294850211,295651295817384,295651294768745,295651297139650,967173,2370905,967173,100.0,40.7934101113288
78,78,78,32.0,32,4096,1024,4,295728887584155,295728891181225,295728887500003,295728889970335,3597070,2470332,2386180,66.33676853661453,96.5934943157438
79,79,79,32.0,32,4096,1024,8,295804168765255,295804175979281,295804168681263,295804171100959,7214026,2419696,2335704,32.37726063088766,96.52882014930802
80,80,80,32.0,32,4096,2048,1,295879119231774,295879122834978,295879119149145,295879121616029,3603204,2466884,2384255,66.17041388719596,96.65047079635686
81,81,81,32.0,32,4096,2048,4,295955517789077,295955531805628,295955517701597,295955520107021,14016551,2405424,2317944,16.5371923520986,96.363219124778
82,82,82,32.0,32,4096,2048,8,296032730069247,296032758067869,296032729989505,296032732422551,27998622,2433046,2353304,8.40507079241257,96.72254449772014
83,83,83,32.0,32,4096,4096,1,296109168711348,296109182807762,296109168626559,296109171044291,14096414,2417732,2332943,16.549904110364523,96.49303562181416
84,84,84,32.0,32,4096,4096,4,296184528181373,296184583226522,296184528098204,296184530518301,55045149,2420097,2336928,4.2454749282266455,96.56340221073783
85,85,85,32.0,64,256,256,1,268352679819795,268352679892562,268352679737647,268352680108095,72767,370448,72767,100.0,19.642972832894227
86,86,86,32.0,64,256,256,4,268440895366120,268440895637902,268440895283371,268440895659191,271782,375820,271782,100.0,72.31706668085785
87,87,87,32.0,64,256,256,8,268528643853517,268528644382768,268528643772412,268528644151279,529251,378867,297762,56.26101792911115,78.59275154605706
88,88,88,32.0,64,256,256,16,268615267229989,268615268335719,268615267148242,268615267529434,1105730,381192,299445,27.081204272290705,78.55490146697727
89,89,89,32.0,64,256,256,32,268702333401227,268702335532783,268702333322085,268702333707888,2131556,385803,306661,14.386720311359403,79.48642182668357
90,90,90,32.0,64,256,512,1,268789754224077,268789754474049,268789754143011,268789754519192,249972,376181,249972,100.0,66.44992702980747
91,91,91,32.0,64,256,512,4,268877840172883,268877841113275,268877840089011,268877840466715,940392,377704,293832,31.245693285353344,77.79425158325037
92,92,92,32.0,64,256,512,8,268964783389244,268964785283739,268964783301724,268964783696227,1894495,394503,306983,16.203948809577223,77.81512434632944
93,93,93,32.0,64,256,512,16,269052283595933,269052287378387,269052283513384,269052283914421,3782454,401037,318488,8.42014205592454,79.4161137251675
94,94,94,32.0,64,256,1024,1,269139948255370,269139949185499,269139948175828,269139948553051,930129,377223,297681,32.00427037539954,78.91379899953078
95,95,95,32.0,64,256,1024,4,269227067956764,269227071546096,269227067876059,269227068274050,3589332,397991,317286,8.839694962739584,79.72190325911892
96,96,96,32.0,64,256,1024,8,269315025497671,269315032684956,269315025417368,269315025799682,7187285,382314,302011,4.202017869056257,78.99553769937799
97,97,97,32.0,64,256,2048,1,269403226048480,269403229658219,269403225965891,269403226365725,3609739,399834,317245,8.788585545935593,79.34417783380103
98,98,98,32.0,64,256,2048,4,269489627085386,269489641101255,269489627027173,269489627407082,14015869,379909,321696,2.2952269317014875,84.67712004716918
99,99,99,32.0,64,256,2048,8,269576503026345,269576530942537,269576502946282,269576503325509,27916192,379227,299164,1.071650460062748,78.88784290148118
100,100,100,32.0,64,256,4096,1,269664382080967,269664396172649,269664381999862,269664382378929,14091682,379067,297962,2.1144530510978035,78.60404625039901
101,101,101,32.0,64,256,4096,4,269752341029998,269752396230177,269752340947228,269752341326095,55200179,378867,296097,0.5364058692635761,78.15328334217548
102,102,102,32.0,64,512,256,1,275874833736750,275874833809677,275874833655003,275874834312468,72927,657465,72927,100.0,11.092149391982844
103,103,103,32.0,64,512,256,4,275960015673876,275960015945217,275960015587759,275960016250275,271341,662516,271341,100.0,40.95614294598168
104,104,104,32.0,64,512,256,8,276043746965141,276043747527427,276043746884997,276043747593579,562286,708582,562286,100.0,79.3536951263227
105,105,105,32.0,64,512,256,16,276127082425627,276127083487377,276127082342838,276127083018744,1061750,675906,593117,55.8622086178479,87.75140330164254
106,106,106,32.0,64,512,256,32,276210976592420,276210978724097,276210976513720,276210977197123,2131677,683403,604703,28.367477812070028,88.48410088922641
107,107,107,32.0,64,512,512,1,276295694417117,276295694664924,276295694331642,276295694992113,247807,660471,247807,100.0,37.51973970091041
108,108,108,32.0,64,512,512,4,276379006888622,276379007828412,276379006806474,276379007478932,939790,672458,590310,62.81296885474414,87.7839210775989
109,109,109,32.0,64,512,512,8,276467469036166,276467470922562,276467468953495,276467469643834,1886396,690339,607668,32.2131726318334,88.02457922846601
110,110,110,32.0,64,512,512,16,276554768256463,276554772058683,276554768170828,276554768866900,3802220,696072,610437,16.05475222370089,87.69739337309933
111,111,111,32.0,64,512,1024,1,276642255971856,276642256907356,276642255893076,276642256567499,935500,674423,595643,63.671084981293426,88.31890371473096
112,112,112,32.0,64,512,1024,4,276731300641726,276731304236351,276731300561182,276731301271888,3594625,710706,630162,17.530674270612373,88.66704375649003
113,113,113,32.0,64,512,1024,8,276822651075009,276822658260811,276822650990295,276822651678470,7185802,688175,603461,8.39796309444652,87.6900497693174
114,114,114,32.0,64,512,2048,1,276912913836059,276912917452934,276912913754552,276912914473918,3616875,719366,637859,17.6356385000864,88.6696062922073
115,115,115,32.0,64,512,2048,4,277002037269418,277002051302928,277002037184414,277002037860120,14033510,675706,590702,4.209224919496263,87.41997259163008
116,116,116,32.0,64,512,2048,8,277089685865010,277089713792109,277089685784145,277089686456844,27927099,672699,591834,2.11921044860406,87.9790218210522
117,117,117,32.0,64,512,4096,1,277178754654335,277178768727937,277178754571225,277178755244045,14073602,672820,589710,4.190185284477989,87.64751345084866
118,118,118,32.0,64,512,4096,4,277268411657427,277268466716606,277268411576217,277268412249437,55059179,673220,592010,1.0752248957435417,87.93707851816642
119,119,119,32.0,64,1024,256,1,283413002545515,283413002633636,283413002461523,283413003721886,88121,1260363,88121,100.0,6.991715878679396
120,120,120,32.0,64,1024,256,4,283489413806900,283489414109753,283489413721104,283489414984435,302853,1263331,302853,100.0,23.972577258058262
121,121,121,32.0,64,1024,256,8,283565307339208,283565307865251,283565307257340,283565308501427,526043,1244087,526043,100.0,42.28345766815343
122,122,122,32.0,64,1024,256,16,283640651150595,283640652232470,283640651067761,283640652351058,1081875,1283297,1081875,100.0,84.30433484999965
123,123,123,32.0,64,1024,256,32,283715625251493,283715627388142,283715625164454,283715626456571,2136649,1292117,1205078,56.400372733191084,93.26384530193474
