,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
50,2d,1,2048,1,256,304.0,19.792,,,19.792,19.792,,,19.792
51,2d,1,2048,1,256,304.0,19.792,,,19.792,,7.243333333333333,5.318666666666667,12.562000000000001
52,2d,1,2048,1,4096,32.0,219.76966666666667,,,219.76966666666667,217.68466666666666,,,217.68466666666666
53,2d,1,2048,1,4096,32.0,219.76966666666667,,,219.76966666666667,,19.470666666666666,5.198666666666667,24.669333333333334
54,2d,1,2048,1,4096,304.0,217.68466666666666,,,217.68466666666666,217.68466666666666,,,217.68466666666666
55,2d,1,2048,1,4096,304.0,217.68466666666666,,,217.68466666666666,,19.470666666666666,5.198666666666667,24.669333333333334
56,2d,1,2048,1,512,32.0,33.851,,,33.851,32.754999999999995,,,32.754999999999995
57,2d,1,2048,1,512,32.0,33.851,,,33.851,,7.109666666666667,5.118333333333333,12.228
58,2d,1,2048,1,512,304.0,32.754999999999995,,,32.754999999999995,32.754999999999995,,,32.754999999999995
59,2d,1,2048,1,512,304.0,32.754999999999995,,,32.754999999999995,,7.109666666666667,5.118333333333333,12.228
60,2d,1,2048,256,1024,32.0,634.1846666666667,,,634.1846666666667,60.09733333333333,,,60.09733333333333
61,2d,1,2048,256,1024,32.0,634.1846666666667,,,634.1846666666667,,103.65066666666667,7.750666666666667,111.40133333333333
62,2d,1,2048,256,1024,304.0,60.09733333333333,,,60.09733333333333,60.09733333333333,,,60.09733333333333
63,2d,1,2048,256,1024,304.0,60.09733333333333,,,60.09733333333333,,103.65066666666667,7.750666666666667,111.40133333333333
64,2d,1,2048,256,2048,32.0,1222.6246666666666,,,1222.6246666666666,113.66000000000001,,,113.66000000000001
65,2d,1,2048,256,2048,32.0,1222.6246666666666,,,1222.6246666666666,,152.80300000000003,7.698,160.50100000000003
66,2d,1,2048,256,2048,304.0,113.66000000000001,,,113.66000000000001,113.66000000000001,,,113.66000000000001
67,2d,1,2048,256,2048,304.0,113.66000000000001,,,113.66000000000001,,152.80300000000003,7.698,160.50100000000003
68,2d,1,2048,256,256,32.0,192.093,,,192.093,19.858666666666664,,,19.858666666666664
