,mode,prefill_len,prefill_batch,decode_batch_size,cu_mask,mean_q1,std_q1,mean_q2,std_q2,mean_q3,std_q3,decode_mean_q1,decode_std_q1,prefill_mean_q1,prefill_std_q1
655,prefill_and_decode,512.0,8.0,128.0,64.0,,,538.5758,16.835731754218468,109.12159999999999,23.04519853027957,74.35666666666667,0.381174937965934,513.2413333333333,6.82176196692128
656,prefill_and_decode,512.0,8.0,128.0,96.0,,,536.9646,17.77183767369039,80.1192,14.61979974897057,57.59866666666667,0.3504487599255191,494.959,19.74101813483794
657,prefill_and_decode,512.0,8.0,128.0,128.0,,,639.3106,15.013219401580736,57.227,8.604423891231765,41.57533333333333,0.31298615517836276,613.7246666666666,13.090808009184691
658,prefill_and_decode,512.0,8.0,128.0,160.0,,,753.3797999999999,18.398012452436237,51.654399999999995,5.919731311470142,40.18533333333333,0.12951576480619303,750.7310000000001,6.111574919773091
659,prefill_and_decode,512.0,8.0,128.0,304.0,,,503.90500000000003,41.046612485076025,320.4932,167.74086713350448,27.088333333333335,0.5076232198524145,422.8473333333333,48.918372022516564
660,prefill_and_decode,512.0,16.0,1.0,32.0,,,986.2806,44.273110505136195,57.940599999999996,13.325077647053316,40.292,0.3609999999999971,900.5003333333334,34.9894252786943
661,prefill_and_decode,512.0,16.0,1.0,64.0,,,1092.2914,36.162729187659465,30.2454,6.286400225884442,21.743,0.18085076720876697,1008.6543333333333,40.77647748804859
662,prefill_and_decode,512.0,16.0,1.0,96.0,,,1110.5729999999999,20.048240932810025,25.923400000000004,2.450745356009066,20.473333333333333,0.4429450680765427,1018.8246666666668,58.62908734010221
663,prefill_and_decode,512.0,16.0,1.0,128.0,,,1319.9404,51.47674466980217,20.575,0.8222916149396152,14.486666666666666,0.5043821302676506,1257.0896666666667,39.0181094151591
664,prefill_and_decode,512.0,16.0,1.0,160.0,,,1427.0416,78.29636635757747,20.3506,0.7614504580076108,13.844999999999999,0.12274770873625308,1408.8369999999998,2.100488514608096
665,prefill_and_decode,512.0,16.0,1.0,304.0,,,878.5863999999999,70.71749014070004,154.22480000000002,78.1640671389354,13.457333333333333,0.2583047295992339,807.6076666666667,52.70681421157356
666,prefill_and_decode,512.0,16.0,2.0,32.0,,,990.3381999999999,44.55736242418305,57.379,14.442818924988293,40.092,0.13856406460550724,900.5003333333334,34.9894252786943
667,prefill_and_decode,512.0,16.0,2.0,64.0,,,1106.7166000000002,16.796975703977168,31.2074,6.728222595901535,21.42233333333333,0.18977442750100249,1008.6543333333333,40.77647748804859
668,prefill_and_decode,512.0,16.0,2.0,96.0,,,1074.1382,54.39200111413446,26.1076,2.9355362883125813,20.246333333333336,0.34222848118374694,1018.8246666666668,58.62908734010221
669,prefill_and_decode,512.0,16.0,2.0,128.0,,,1307.6244,50.823976706865324,20.7434,1.0902895486979594,14.272666666666666,0.12050034578097138,1257.0896666666667,39.0181094151591
